"xPath","TO TRANSLATE","YOUR TRANSLATION"
"//library/folder[attribute::folder-id=""blog""]/display-name[attribute::xml:lang=""en-AE""]","BLOG","المدونة"
"//library/folder[attribute::folder-id=""blog""]/page-attributes/page-title[attribute::xml:lang=""en-AE""]","Advice from our experts, BaByliss - Blog","نصائح الخبراء من بيبي ليس، المدونة"
"//library/folder[attribute::folder-id=""Advices-for-men""]/display-name[attribute::xml:lang=""en-AE""]","Advices for Men","نصائح للرجال"
"//library/folder[attribute::folder-id=""Advices-for-men""]/page-attributes/page-title[attribute::xml:lang=""en-AE""]","Advices man, BaByliss - Blog","نصائح للرجال من بيبي ليس - المدونة"
"//library/folder[attribute::folder-id=""Advices-for-woman""]/display-name[attribute::xml:lang=""en-AE""]","Advices for woman","نصائح للسيدات"
"//library/folder[attribute::folder-id=""Advices-for-woman""]/page-attributes/page-title[attribute::xml:lang=""en-AE""]","Advices woman, BaByliss - Blog","نصائح للسيدات من بيبي ليس - المدونة"
"//library/folder[attribute::folder-id=""News""]/display-name[attribute::xml:lang=""en-AE""]","News","أخبار"
"//library/folder[attribute::folder-id=""News""]/page-attributes/page-title[attribute::xml:lang=""en-AE""]","News, BaByliss - Blog","أخبار، بيبي ليس - المدونة"
"//library/folder[attribute::folder-id=""Promotions""]/display-name[attribute::xml:lang=""en-AE""]","Promotions","العروض الترويجية"
"//library/folder[attribute::folder-id=""Promotions""]/page-attributes/page-title[attribute::xml:lang=""en-AE""]","Promotions, BaByliss - Blog","العروض الترويجية، بيبي ليس - المدونة"
"//library/content[attribute::content-id=""barbe-3-jours""]/display-name[attribute::xml:lang=""en-AE""]","COMMENT AVOIR UNE BARBE DE 3 JOURS? HOW TO HAVE A 3-DAY BEARD?","COMMENT AVOIR UNE BARBE DE 3 JOURS? كيف يمكنك الحصول على لحية خلال 3 أيام؟"
